Brand,Model,km_driven,Owner,Mfg_year,Fuel_type,Mileage,Transmission,Price(lakh)
Mahindra,Scorpio,"1,800",First,2022,Diesel,15,RWD,18.5
Mercedes-Benz,CLA,"28,500",First,2019,Diesel,FWD,Turbocharged,31.5
Mahindra,XUV500,"79,500",First,2012,Diesel,15.1,Manual,5.95
Land,Rover,"18,000",First,2020,Diesel,15.6,Automatic,69.95
Jeep,Compass,"23,526",First,2018,Petrol,FWD,BS,16.75
Honda,All,"5,563",First,2022,Petrol,18.4,FWD,16.35
Tata,Safari,"11,000",First,2022,Diesel,350,704,25
Jeep,Compass,"9,000",First,2018,Petrol,FWD,BS,16.9
Hyundai,Creta,"23,400",First,2021,Diesel,19,FWD,19.81
Hyundai,i20,"11,000",First,2020,Petrol,20.2,FWD,10.5
Jeep,Compass,"9,000",First,2018,Petrol,FWD,BS,16.9
Tata,Safari,"11,000",First,2022,Diesel,350,704,25
Hyundai,Creta,"23,400",First,2021,Diesel,19,FWD,19.81
Mahindra,Thar,"12,000",First,2021,Diesel,4WD,BS,17.75
BMW,3,"12,500",First,2021,Diesel,22.69,Automatic,49.99
Tata,Safari,"8,200",First,2022,Diesel,350,807,23.23
Tata,Harrier,"25,000",First,2020,Diesel,14.63,FWD,22.49
Honda,City,"5,200",First,2021,Petrol,18,FWD,15.49
Volvo,V40,"68,000",Second,2017,Diesel,FWD,Turbocharged,20.5
Hyundai,i10,"46,000",Second,2012,Petrol,16.95,Automatic,3.15
Ford,Endeavour,"82,000",First,2016,Diesel,10.91,Automatic,24.75
Tata,Nexon,"8,000",First,2020,Electric,127,FWD,15.11
Mercedes-Benz,GLE,"66,000",First,2017,Diesel,Automatic,Turbocharged,49
Maruti,Suzuki,"37,500",First,2020,Petrol,17,FWD,49
Toyota,Fortuner,"16,000",First,2022,Diesel,14.2,AWD,54.25
Hyundai,Creta,"58,000",First,2018,Petrol,15.29,Automatic,12.75
Volkswagen,Vento,"18,500",First,2017,Petrol,18.19,Automatic,8.2
MG,Gloster,"6,800",First,2022,Diesel,12,4WD,8.2
Toyota,Corolla,"1,05,000",Second,2012,Diesel,21.45,Manual,8.2
Mercedes-Benz,E-Class,"19,364",First,2020,Diesel,RWD,Turbocharged,71.49
Audi,R8,"16,500",First,2012,Petrol,4.8,4431,68.95
Toyota,Fortuner,"51,000",First,2018,Diesel,12.9,Automatic,32.9
Kia,Seltos,"22,000",First,2020,Diesel,18,Automatic,32.9
Kia,Seltos,"22,000",First,2020,Diesel,18,Automatic,32.9
Maruti,Suzuki,"47,000",First,2017,Petrol,19.12,Automatic,7.25
Toyota,Fortuner,"52,000",First,2017,Diesel,12.9,Automatic,30.9
Hyundai,Grand,"30,500",First,2018,Petrol,19.77,Manual,5.3
Hyundai,Creta,"58,000",First,2018,Petrol,15.29,Automatic,12.75
Audi,R8,"16,500",First,2012,Petrol,4.8,4431,68.95
Toyota,Fortuner,"51,000",First,2018,Diesel,12.9,Automatic,32.9
Mahindra,Quanto,"84,500",Third,2014,Diesel,17.1,Manual,3.2
Honda,Amaze,"49,000",First,2015,Petrol,18.1,Automatic,5.4
Maruti,Suzuki,"13,000",First,2018,Petrol,22.5,AMT,5.4
